Name,geo_loc
Bangalore Banashankari,"(12.9152208, 77.573598)"
Bangalore Basavanagudi,"(12.9417261, 77.5755021)"
Bangalore Mysore Road,"(12.9314092, 77.5067138)"
Bangalore Jayanagar,"(12.9292731, 77.5824229)"
Bangalore Kumaraswamy Layout,"(12.9068169, 77.5635247362134)"
Bangalore Rajarajeshwari Nagar,"(12.9274278, 77.5153722)"
Bangalore Vijay Nagar,
Bangalore Uttarahalli,"(12.9055682, 77.5455438)"
Bangalore JP Nagar,"(12.9072515, 77.5782713)"
Bangalore South Bangalore,"(12.9791198, 77.5912997)"
Bangalore City Market,"(12.965718, 77.5762705372058)"
Bangalore Nagarbhavi,"(12.9651008, 77.5078635)"
Bangalore Bannerghatta Road,"(12.9166588, 77.5998415)"
Bangalore BTM,"(12.91127585, 77.6045654343118)"
Bangalore Kanakapura Road,"(12.9065633, 77.573184)"
Bangalore Bommanahalli,"(13.3457317, 77.4333346)"
Bangalore nan,"(12.9791198, 77.5912997)"
Bangalore CV Raman Nagar,
Bangalore Electronic City,"(12.9791198, 77.5912997)"
Bangalore HSR,"(12.91445305, 77.6426938363703)"
Bangalore Marathahalli,"(12.9552572, 77.6984163)"
Bangalore Sarjapur Road,"(12.9244842, 77.6502725)"
Bangalore Wilson Garden,"(12.9489339, 77.5968273)"
Bangalore Shanti Nagar,"(12.9575547, 77.5979099)"
Bangalore Koramangala 5th Block,"(13.2923988, 77.7519261)"
Bangalore Koramangala 8th Block,"(12.9417812, 77.6160146)"
Bangalore Richmond Road,"(12.9667094, 77.6090347)"
Bangalore Koramangala 7th Block,"(13.2923988, 77.7519261)"
Bangalore Jalahalli,"(13.0464531, 77.5483803)"
Bangalore Koramangala 4th Block,"(12.93433385, 77.6304063955327)"
Bangalore Bellandur,"(12.9791198, 77.5912997)"
Bangalore Whitefield,"(12.9696365, 77.7497448)"
Bangalore East Bangalore,"(12.9791198, 77.5912997)"
Bangalore Old Airport Road,"(12.9593577, 77.6614182)"
Bangalore Indiranagar,"(12.9732913, 77.6404672)"
Bangalore Koramangala 1st Block,"(12.9243509, 77.6255562)"
Bangalore Frazer Town,"(12.996845, 77.6130165)"
Bangalore RT Nagar,"(13.0227204, 77.595715)"
Bangalore MG Road,"(12.9741854, 77.6124135)"
Bangalore Brigade Road,"(12.9736132, 77.6074716)"
Bangalore Lavelle Road,"(12.9749565, 77.5997278)"
Bangalore Church Street,"(12.9742939, 77.6525189)"
Bangalore Ulsoor,"(12.9778793, 77.6246697)"
Bangalore Residency Road,"(13.055254, 77.6254675)"
Bangalore Shivajinagar,"(12.986391, 77.6075416)"
Bangalore Infantry Road,"(12.9831774, 77.595831)"
Bangalore St. Marks Road,"(12.9779057, 77.6022008)"
Bangalore Cunningham Road,"(12.9868908, 77.59503)"
Bangalore Race Course Road,"(12.98233305, 77.5807788792357)"
Bangalore Commercial Street,"(12.9821931, 77.6083132)"
Bangalore Vasanth Nagar,"(12.98872125, 77.5851687760182)"
Bangalore HBR Layout,"(13.0358698, 77.6323597)"
Bangalore Domlur,"(12.9624669, 77.6381958)"
Bangalore Ejipura,"(12.945245, 77.6269144)"
Bangalore Jeevan Bhima Nagar,"(12.9678074, 77.6568367)"
Bangalore Old Madras Road,"(13.0288138, 77.725297)"
Bangalore Malleshwaram,"(13.0027353, 77.5703253)"
Bangalore Seshadripuram,"(12.9931876, 77.5753419)"
Bangalore Kammanahalli,"(13.00796435, 77.6366701521896)"
Bangalore Koramangala 6th Block,"(13.2923988, 77.7519261)"
Bangalore Majestic,"(12.9757079, 77.5728757)"
Bangalore Langford Town,"(12.9551331, 77.6056066)"
Bangalore Central Bangalore,"(12.97339325, 77.6112342691467)"
Bangalore Sanjay Nagar,"(12.9578658, 77.6958748)"
Bangalore Brookefield,
"Bangalore ITPL Main Road, Whitefield",
"Bangalore Varthur Main Road, Whitefield","(12.969444, 77.7499922)"
Bangalore KR Puram,"(13.007516, 77.695935)"
Bangalore Koramangala 2nd Block,"(12.9236896, 77.6226350988981)"
Bangalore Koramangala 3rd Block,"(12.9271867, 77.6266252)"
Bangalore Koramangala,"(13.2923988, 77.7519261)"
Bangalore Hosur Road,"(12.9295648, 77.615163)"
Bangalore Rajajinagar,"(12.9882338, 77.554883)"
Bangalore Banaswadi,"(13.0141618, 77.6518539)"
Bangalore North Bangalore,"(12.9791198, 77.5912997)"
Bangalore Nagawara,"(13.0338313, 77.6225083)"
Bangalore Hennur,"(13.0258087, 77.6305067)"
Bangalore Kalyan Nagar,"(13.0221416, 77.6403368)"
Bangalore New BEL Road,"(13.0421236, 77.5620076)"
Bangalore Jakkur,"(13.0784743, 77.6068938)"
Bangalore Rammurthy Nagar,
Bangalore Thippasandra,"(12.973936, 77.6509982)"
Bangalore Kaggadasapura,"(12.9846713, 77.6790908)"
Bangalore Hebbal,"(13.0382184, 77.5919)"
Bangalore Kengeri,"(12.9199402, 77.4833485)"
Bangalore Sankey Road,"(13.0055699, 77.5809081)"
Bangalore Sadashiv Nagar,
Bangalore Basaveshwara Nagar,"(12.9932236, 77.5391579)"
Bangalore Yeshwantpur,"(13.0236062, 77.5566302)"
Bangalore West Bangalore,"(12.9791198, 77.5912997)"
Bangalore Magadi Road,"(12.9858515, 77.486927)"
Bangalore Yelahanka,"(13.1006982, 77.5963454)"
Bangalore Sahakara Nagar,"(13.0621474, 77.580061354805)"
Bangalore Peenya,"(13.0329419, 77.5273253)"
